name,smiles,mol_wt,hbd,hba,rotatable_bonds,logP,tpsa
NVIC0128,Fc1ccc(cc1F)S(=O)(=O)Nc1ccc(cc1)n1cnnn1,337.04450196800013,1,6,4,1.7412999999999992,89.77
NVIC0129,N#CN(c1nc(NC(C)C)nc(n1)NC(C)C)CC(=O)OC,307.175672912,2,9,7,0.9726799999999998,116.06000000000002
NVIC0130,OC(=O)CCCc1c[nH]c2c1cccc2,203.094628656,2,1,4,2.5752000000000006,53.089999999999996
NVIC0131,OC(=O)c1cccc2c1c(=O)c(c[nH]2)C(=O)O,233.032422324,3,3,2,0.9244999999999999,107.46
NVIC0132,O=C(N[C@@H](C(=O)N1CCc2c1cccc2)c1ccccc1)Nc1ccc(cc1)C,385.17902697600005,2,2,4,4.4471200000000035,61.440000000000005
NVIC0133,OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](OC4[C@@H](O)[C@H](O)C([C@@H]([C@@H]4O)O)O)[C@@H]([C@H]([C@H]3O)O)O)[C@@H]([C@H]([C@H]2O)O)O)[C@@H]([C@H]([C@H]1O)O)O,666.221858364,15,21,9,-10.36200000000001,358.83000000000004
NVIC0134,CCc1ccc(cc1)C1N(CCc2c1[nH]c1c2cccc1)C(=O)C1CCC1,358.20451345199996,1,1,3,5.004500000000005,36.1
NVIC0135,COC(=O)C1=C2Nc3c([C@]42[C@H](C(C1)C[C@@]1(CC)COC(O1)(C)C)C(CN4)Cc1ccccc1)cccc3,502.283157696,2,6,6,5.154500000000005,68.82000000000001
NVIC0136,Cc1ccc(cc1)S(=O)(=O)CC(=O)NC1SC=C(N1)c1ccc(cc1)O,390.070799056,3,6,5,2.209120000000001,95.5
NVIC0137,Fc1cnc(c(n1)C(=O)N1CCN(CC1)c1nnc(o1)c1ccccc1)O,370.11896656,1,8,3,1.3336999999999997,108.48000000000002
NVIC0138,Clc1ccc(cc1)c1nnc(o1)N1CCN(CC1)C(=O)c1nc(F)cnc1O,404.07999420799996,1,8,3,1.9870999999999994,108.48000000000002
NVIC0139,Oc1ccc(cc1)c1nnc(o1)N1CCN(CC1)C(=O)c1nc(F)cnc1O,386.11388118,2,9,3,1.0392999999999994,128.71
NVIC0140,OCC(C(CO)O)NC(=O)c1c(I)c(N(C(=O)CC(=O)N(c2c(I)c(C(=O)NC(C(CO)O)CO)c(c(c2I)C(=O)NC(C(CO)O)CO)I)C)C)c(c(c1I)C(=O)NC(C(CO)O)CO)I,1625.729346696,16,18,24,-3.8942999999999883,399.78000000000003
NVIC0141,OC1C(O)[C@H](O[C@H]1c1ccc2n1ncnc2N)COP(=O)(O)O,346.06783544999996,5,9,4,-1.4175,172.65999999999997
NVIC0142,CC=C1CNC2C3C1CC(C)[C@H]1C(C3OC(=O)C)(C2)c2c(N1)cccc2,352.21507813600005,2,4,1,3.244200000000001,50.36
