name,smiles
258-avr-enamine,CC(NC1CS(=O)(=O)CC1O)C(C)n1cc(C)cn1
259-avr-enamine,CC1CCCCC1NC(=O)Cn1ccc(=O)n(C)c1=O
260-avr-enamine,CC1CCCN(CCNC(=O)Cn2cnnn2)C1
261-avr-enamine,CC(C)(C)CNC(=O)Cc1csc(n1)N1CCCC1=O
262-avr-enamine,O=S(=O)(NCCc1cccnc1)N1CCCCCC1
263-avr-enamine,Cc1cnccc1NC(=O)NCC(=O)N1CCCC1
264-avr-enamine,Cc1cnccc1NC(=O)NCC1(O)CCCC1
265-avr-enamine,COCCn1c(SC(C)C(=O)N2CCNC2=O)nc2ccccc12
266-avr-enamine,CC1CC(CNC(=O)Nc2cccnc2)CCO1
267-avr-enamine,CC1CCCCC1NC(=O)Cn1c(=O)c(C#N)cn(C2CC2)c1=O
268-avr-enamine,CC(NCC(=O)N1CCNC1=O)C(C)n1cccn1
269-avr-enamine,CC1CCN(CC(O)CNC(=O)Nc2cccnc2)CC1
270-avr-enamine,CCC(CC)(CNC(=O)C(C)c1c(C)noc1C)C(=O)O
271-avr-enamine,O=C(NCCc1ccncc1)N1CCN(CC1)C1CC2CCC1C2
272-avr-enamine,CCC(C)C(NC(=O)Cc1ccn(n1)C(C)C)C(=O)O
273-avr-enamine,COCCn1nc(ccc1=O)C(=O)NC1(CCCCC1)C(F)(F)F
274-avr-enamine,Cn1cc(cn1)C(C)(O)CNC1CCCSC1
275-avr-enamine,NC(=O)C1COCCN1c1ncc(C#N)cc1Cl
276-avr-enamine,COC1(C)CC(NC(=O)Nc2ccc(F)cn2)C1(C)C
277-avr-enamine,CC(=O)NCC1CN(CCO1)c1ccnc(n1)C(C)(C)C
278-avr-enamine,OCCCc1nc2ccccc2n1CC(O)C(F)(F)F
279-avr-enamine,Cc1nn(C)c(C)c1CC(=O)NCC1(O)CCSC1
280-avr-enamine,Cc1nn(C(F)F)c(C)c1CC(=O)NC(C)(C)C(=O)O
281-avr-enamine,COCCn1cc(cc(C#N)c1=O)C(=O)c1cc(F)ccc1O
282-avr-enamine,CC1(NC(=O)NC1=O)c1cccnc1
